time,x,y,z,rotation,,,
2022-08-15 9:37:25.803,0.290801555,1.861207843,0.963734925,0.006027777,0.999901712,0.011617941,-0.005036321
2022-08-15 9:37:25.812,0.290797949,1.861224294,0.963710546,0.006172367,0.999899387,0.011733866,-0.005042367
2022-08-15 9:37:25.829,0.290619016,1.861671686,0.963012874,0.009539559,0.999834001,0.014424847,-0.005747989
2022-08-15 9:37:25.831,0.290851384,1.86111474,0.963896394,0.005021991,0.99991703,0.010861184,-0.004791888
2022-08-15 9:37:25.837,0.290770739,1.861232877,0.963689625,0.006291013,0.999897361,0.011830743,-0.005074925
2022-08-15 9:37:25.845,0.29081443,1.861149669,0.963844597,0.00520161,0.999913633,0.011025853,-0.004913323
2022-08-15 9:37:25.853,0.290804893,1.861170173,0.963780403,0.005675456,0.999907017,0.011370925,-0.004958637
2022-08-15 9:37:25.856,0.290812761,1.86116302,0.963806093,0.005643961,0.999907494,0.011365156,-0.004904947
2022-08-15 9:37:25.870,0.290787101,1.861204267,0.963747382,0.005824784,0.999904275,0.011510014,-0.005014766
2022-08-15 9:37:25.878,0.29085505,1.86110878,0.963883519,0.005130537,0.999915779,0.010929949,-0.004778281
2022-08-15 9:37:25.886,0.290833414,1.861140251,0.963836789,0.005372241,0.999911964,0.011112015,-0.004886372
2022-08-15 9:37:25.895,0.29080984,1.86117065,0.963791549,0.005663602,0.999907136,0.011366202,-0.004949731
2022-08-15 9:37:25.904,0.290841877,1.861108184,0.963883817,0.005105005,0.999915838,0.010927896,-0.004775047
2022-08-15 9:37:25.911,0.290780753,1.86123848,0.963665247,0.006468351,0.9998945,0.011968574,-0.005090371
2022-08-15 9:37:25.921,0.290841311,1.861110091,0.96389389,0.004951051,0.999917746,0.010828855,-0.004770083
2022-08-15 9:37:25.928,0.290801585,1.861215472,0.963700891,0.006229728,0.999898911,0.011749282,-0.005036371
2022-08-15 9:37:25.937,0.290766716,1.861258626,0.96366024,0.006506168,0.999893188,0.012055138,-0.005112829
2022-08-15 9:37:25.945,0.290781289,1.861268401,0.963612676,0.006739524,0.999889672,0.012196747,-0.005143636
2022-08-15 9:37:25.954,0.290805399,1.861229062,0.963638902,0.006583592,0.999893486,0.011999659,-0.005082679
2022-08-15 9:37:25.961,0.290868849,1.861088872,0.963895559,0.005036986,0.999917448,0.010841083,-0.00472642
2022-08-15 9:37:25.972,0.290749758,1.86131227,0.963537157,0.007225201,0.999881327,0.012564051,-0.005223231
2022-08-15 9:37:25.979,0.290656865,1.861559629,0.963180542,0.00893391,0.999847651,0.013913436,-0.005597617
2022-08-15 9:37:25.988,0.290763706,1.8612746,0.963627815,0.006694055,0.999890625,0.012141221,-0.005161716
2022-08-15 9:37:25.995,0.290795773,1.861184001,0.963757575,0.005896828,0.999903738,0.011528364,-0.004995635
2022-08-15 9:37:26.009,0.290673763,1.861508727,0.963278711,0.008498015,0.999856055,0.013605015,-0.005547309
2022-08-15 9:37:26.013,0.29067564,1.861414194,0.963443696,0.007623932,0.999872088,0.012973909,-0.005416594
